index,tag,label
0,plant-based-foods-and-beverages,Plant-based foods and beverages
1,plant-based-foods,Plant-based foods
2,fruits-and-vegetables-based-foods,Fruits and vegetables based foods
3,vegetables-based-foods,Vegetables based foods
4,leaf-vegetables,Leaf vegetables
5,dairies,Dairies
6,desserts,Desserts
7,dried-products,Dried products
8,dairy-desserts,Dairy desserts
9,dried-products-to-be-rehydrated,Dried products to be rehydrated
10,snacks,Snacks
11,sweet-snacks,Sweet snacks
12,biscuits-and-cakes,Biscuits and cakes
13,viennoiseries,Viennoiseries
14,pastries,Pastries
15,apple-turnovers,Apple turnovers
16,boulange,boulange
17,groceries,Groceries
18,sauces,Sauces
19,pestos,Pestos
20,spreads,Spreads
21,salted-spreads,Salted spreads
22,artichoke-spreads,Artichoke spreads
23,beverages,Beverages
24,carbonated-drinks,Carbonated drinks
25,sodas,Sodas
26,sweetened-beverages,Sweetened beverages
27,root-beers,root-beers
28,meals,Meals
29,pizzas-pies-and-quiches,Pizzas pies and quiches
30,quiches,Quiches
31,lorraine-quiche,Lorraine quiche
36,fruits-based-foods,Fruits based foods
39,compotes,Compotes
40,apple-compotes,Apple compotes
43,confectioneries,Confectioneries
44,candies,Candies
48,cooking-helpers,Cooking helpers
49,pastry-helpers,Pastry helpers
50,pates-a-sucre,Pâtes à sucre
51,decorations,decorations
55,chocolate-candies,Chocolate candies
56,bonbons,Bonbons
58,puddings,Puddings
59,christmas-puddings,Christmas Puddings
64,cakes,Cakes
71,bonbons-sans-sucres,bonbons-sans-sucres
72,pastilles,pastilles
78,chocolate-covered-nuts,Chocolate covered nuts
79,chocolate-covered-peanuts,Chocolate covered peanuts
83,colas,Colas
89,tomato-sauces,Tomato sauces
90,ketchup,Ketchup
93,plant-based-beverages,Plant-based beverages
95,fruit-based-beverages,Fruit-based beverages
97,fruit-sodas,Fruit sodas
98,lemon-soft-drinks,Lemon soft drinks
105,madeleines,Madeleines
108,chocolate-cakes,Chocolate cakes
110,chocolate-madeleines,Chocolate madeleines
115,fruit-cakes,Fruit cakes
116,cakes-aux-raisins,cakes-aux-raisins
124,dietary-supplements,Dietary supplements
125,bodybuilding-supplements,Bodybuilding supplements
126,protein-powders,Protein powders
130,piadina,piadina
133,financiers,Financiers
134,patisseries-fondantes-a-la-poudre-d-amande,patisseries-fondantes-a-la-poudre-d-amande
141,puttanesca-sauce,Puttanesca-sauce
142,tomate-sauces,Tomate-sauces
143,puttanesca,puttanesca
144,sauce-italienne,sauce-italienne
151,tomato-sauces-with-olives,Tomato sauces with olives
155,vegetable-sauces,Vegetable sauces
162,lemon-cake,Lemon cake
163,sweeteners,Sweeteners
164,sugars,Sugars
165,dextrose,dextrose
166,maltodextrine,maltodextrine
175,canned-foods,Canned foods
180,gouters-individuels,gouters-individuels
183,cereals-and-potatoes,Cereals and potatoes
184,sandwiches,Sandwiches
185,breads,Breads
186,hamburgers,Hamburgers
187,special-breads,Special breads
188,fish-and-meat-and-eggs,Fish and meat and eggs
189,foies-gras,Foies gras
190,foies-gras-from-ducks,Foies gras from ducks
192,sandwiches-filled-with-cold-cuts,Sandwiches filled with cold cuts
193,ham-sandwiches,Ham sandwiches
196,rosette-sandwiches,Rosette Sandwiches
198,poultry-sandwiches,Poultry sandwiches
207,biscuits,Biscuits
208,chocolate-biscuits,Chocolate biscuits
213,drop-cookies,Drop cookies
214,raisin-cookies,Raisin cookies
225,oatmeal-cookies,Oatmeal cookies
245,salade-vegetarienne,salade-vegetarienne
247,raw-vegetable-sandwiches,Raw-vegetable-sandwiches
249,salads,Salads
250,prepared-salads,Prepared salads
261,meals-with-fish,Meals with fish
263,tuna-salad,Tuna salad
265,fish-sandwiches,Fish sandwiches
266,tuna-sandwiches,Tuna sandwiches
270,sandwich-au-roti-de-porc,sandwich-au-roti-de-porc
275,cheese-sandwiches,Cheese sandwiches
276,goat-cheese-sandwiches,Goat cheese sandwiches
282,soups,Soups
283,canned-meals,Canned meals
284,canned-soups,Canned soups
285,chowders,Chowders
291,dried-plant-based-foods,Dried plant-based foods
292,dried-fruits,Dried fruits
293,dried-mixed-fruits,Dried mixed fruits
296,seafood,Seafood
297,fishes,Fishes
298,fish-fillets,Fish fillets
300,pasta-dishes,Pasta dishes
301,bolognese-style-pasta-spaghetti-tagliatelle,Bolognese-style-pasta-spaghetti-tagliatelle
308,filled-cakes,Filled cakes
313,cookies-aux-noix-de-pecan,cookies-aux-noix-de-pecan
314,frozen-foods,Frozen foods
317,pizzas,Pizzas
318,frozen-pizzas-and-pies,Frozen pizzas and pies
319,frozen-ready-made-meals,Frozen ready-made meals
320,frozen-pizzas,Frozen pizzas
321,tarta-de-trigo,tarta-de-trigo
322,meats,Meats
323,prepared-meats,Prepared meats
324,hams,Hams
325,white-hams,White hams
326,honey-roast-ham,Honey-roast-ham
331,muffins,Muffins
332,fruit-muffins,Fruit Muffins
333,blueberry-muffins,Blueberry Muffins
343,salty-snacks,Salty snacks
344,appetizers,Appetizers
345,chips-and-fries,Chips and fries
346,crisps,Crisps
347,potato-crisps,Potato crisps
348,flavoured-potato-crisps,Flavoured potato crisps
349,cheese-and-onion-crisps,Cheese and onion crisps
350,cheddar-and-onion-crisps,Cheddar and onion crisps
354,brioches,Brioches
355,brioche-filled-with-custard,Brioche filled with custard
360,breakfasts,Breakfasts
362,plant-based-spreads,Plant-based spreads
363,sweet-spreads,Sweet spreads
364,fruit-and-vegetable-preserves,Fruit and vegetable preserves
365,jams,Jams
366,berry-jams,Berry jams
367,blackcurrant-jams,Blackcurrant jams
368,fruit-jams,Fruit-jams
371,fermented-foods,Fermented foods
372,fermented-milk-products,Fermented milk products
374,fromages-blancs,Fromages blancs
377,cheesecakes,Cheesecakes
378,pies,Pies
379,sweet-pies,Sweet pies
380,tartlets,Tartlets
381,fruit-tarts,Fruit tarts
382,lemon-tarts,Lemon tarts
383,biscuit-with-fruit-covering,Biscuit with fruit covering
388,fruit-salads,Fruit salads
393,carrot-cakes,Carrot cakes
405,cream-soups,Cream soups
406,vegetable-soups,Vegetable soups
407,cream-of-vegetable-soups,Cream of vegetable soups
410,chocolate-pies,Chocolate pies
415,fruit-tartlets,Fruit tartlets
417,raspberry-pies,Raspberry pies
418,raspberry-tartlets,Raspberry tartlets
420,beef,Beef
423,breaded-products,Breaded products
424,refrigerated-foods,Refrigerated foods
425,refrigerated-meals,Refrigerated meals
426,crevettes-panees,crevettes-panees
428,microwave-meals,Microwave meals
430,condiments,Condiments
432,mustards,Mustards
438,plant-based-meals,Plant-based meals
452,milks,Milks
